정제: 거기 비쌀까요??	거기 비쌀까요??
정제: 정장아예없어서	정장이 아예 없어서
정제: 사촌오바 결혼식때	사촌오빠 결혼식 때.
정제: 다음에는 곽티슈를	다음에는 곽티슈를
정제: 좀 더 작은 사이즈로	좀 더 작은 사이즈로.
정제: 사는게 좋을 거 같아🙄🙄	사는 게 좋을 거 같아🙄🙄
정제: 직사각형 말고	직사각형 말고.
정제: 정사각형 곽티슈 말하는 거지?	정사각형 곽티슈 말하는 거지?
정제: 응 맞아	응, 맞아.
정제: 그게 자리 차지도 덜할 거 같거든	그게 자리 차지도 덜할 거 같거든.
정제: 게다가 더 경제적이긴 하겠다	게다가 더 경제적이긴 하겠다.
정제: 공간차지도 덜 하고ㅎ	공간 차지도 덜 하고ㅎ
정제: 응 장점이 이렇게 많아	응, 장점이 이렇게 많아.
정제: 그런데 언니 기억이 맞다면	그런데 언니 기억이 맞다면.
정제: 정사각형 곽티슈는 희안하게	정사각형 곽티슈는 희안하게.
정제: 휴지 질이 좀 떨어지는 거 같더라	휴지 질이 좀 떨어지는 것 같더라
정제: 아 그랬어??	아, 그랬어?
정제: 응 사용해봤던 제품들은!	응, 사용해 봤던 제품들은!
정제: 그러면 다른 브랜드의	그러면 다른 브랜드의
정제: 곽티슈를 사보자!	곽티슈를 사보자!
정제: 590 610	590 610
정제: 두개 매도는 걸어놔	두 개 매도는 걸어놔.
정제: 50%만	50% 만
정제: 25% 25%식	25% 25% 식
정제: 물량	물량
정제: 아 그래?	아, 그래?
정제: ㅇㅇ	응응
정제: 분할익절해놔야지	분할 익절해놔야지.
정제: 소량만 900원	소량만 900원
정제: 목표가지	목표 가지.
정제: 엄청난 단타구나	엄청난 단타구나.
정제: ㅋㅋㅋ 벌써 570원대	ㅋㅋㅋ 벌써 570원대.
정제: 딴타인데 이 장도면	딴타인데 이 장도면.
정제: 회귀했누	회귀했네
정제: 여름에 글케 발바닦이 뜨거워 날 괴롭히다니	여름에 그렇게 발바닥이 뜨거워 날 괴롭히다니.
정제: 이젠 발시려	이젠 발 시려.
정제: ㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋ" -> "ㅋㅋㅋ
정제: 나 사고싶어 선생님...	나 사고 싶어 선생님...
정제: 호에ㅜㅜ	호에ㅜㅜ
정제: 어으 기절했었다	어으 기절했었다.
정제: 싸긴하다 거의 새건데ㅜㅜ	싸기는 하다 거의 새건데ㅜㅜ.
정제: 누가 이미 사갓대 ㅜㅠㅋㅋㅋ	누가 이미 사갔대 ㅜㅠㅋㅋㅋ
정제: 물어봤더니?? ㅜㅜ	물어봤더니??
정제: ㅠㅠ이러뉴ㅠㅠㅠ	ㅠㅠ 이런ㅠㅠㅠ.
정제: 응 ㅜㅜㅋㅋ	응 ㅜㅜ ㅋㅋ.
정제: 물어보느라 당근 가입한김에 두산 야구담바 올렷는데	물어보느라 당근 가입한김에 두산 야구잠바 올렸는데.
정제: 안사갈긋...ㅌㅌㅋ	안 사갈 듯... ㅌㅌㅋ.
정제: ㅠㅠㅋㅋㅋㅋㅋ야구잠바 얼마에 올렸엌ㅋㅋㅋㅋㅋ	ㅠㅠㅋㅋㅋㅋㅋ 야구 잠바 얼마에 올렸어ㅋㅋㅋㅋㅋ
정제: 3만원에 올렷어	3만 원에 올렸어.
정제: 조회수도 미미해	조회수도 미미해.
정제: 저 일단 5:20하나 잡앗어요	저 일단 5:20 하나 잡았어요.
정제: 5:20가랴면 따로 앉아야하긴 할듯?!	5:20 가려면 따로 앉아야 하긴 할 듯?!
정제: 이번엔 쿠폰씀 겔겔..	이번엔 쿠폰 썼다. 겔겔..
정제: 다들 쿠폰써서 하나씩 잡아볼가염	다들 쿠폰 써서 하나씩 잡아볼까여.
정제: 몇탕을 뛰는거애	몇 탕을 뛰는 거야.
정제: 앗?	앗?
정제: Mx?	Mx?
정제: 내	네
정제: 제가 갖고 잇는게 2:40이구	제가 갖고 있는 게 2:40이고
정제: 지금 5:20 열렷어용	지금 5:20 열렸어요.
정제: 어떻게 푸는거애	어떻게 푸는 거야
정제: 아니 쿠폰 어떻게 받는거지	아니 쿠폰 어떻게 받는 거지.
정제: 기달	기다려
정제: 이벤트 배너!!	이벤트 배너!!
정제: 나도 다섯시꺼 쿠폰 써서 잡아쏘	나도 다섯 시꺼 쿠폰 써서 잡았어.
정제: 앱에서 맨 왼쪽 위에 가로작대기 세개 눌러서 이벤트 들어가서	앱에서 맨 왼쪽 위에 가로 작대기 세 개 눌러서 이벤트 들어가서
정제: 쭉 내리면 mx 3000어쩌규... 클릭	쭉 내리면 mx 3000 어쩌구... 클릭.
정제: #@이름#언니 자리워디	#@이름# 언니 자리 어디에요?
정제: 나 i15?	나 i15?
정제: 저 h15	저 H15.
정제: 아싸 감사용	아싸 감사해요
정제: 머가용?	뭐가요?
정제: 삼천원 아꼇다 (작은 것에 기뻐하는 편)	삼천원 아꼈다 (작은 것에 기뻐하는 편)
정제: ㅋㅋㅋㅋㅋㅋㅋㅋ 나도나도 오예~	ㅋㅋㅋㅋㅋㅋㅋㅋ 나도 나도 오예~
정제: 여덟시늠 자리 저긴데	여덟 시는 자리 저긴데.
정제: 저기나 여기나겠지..?	저기나 여기나겠지..?
정제: 게다가 같은 시간대에 보는거니까	게다가 같은 시간대에 보는 거니까.
정제: 글고 생각해보니 저 11:30치과이고 치과 파준데 2:40 쩜... 간당간당이엇네	그리고 생각해보니 저 11:30 치과이고 치과 파주인데 2:40 쩜... 간당간당이었네.
정제: 8시건 늦으니까.. 그거 감안하면 아이15도 갠찮은거같아여	8시간 늦으니까.. 그거 감안하면 아이 15도 괜찮은 거 같아요.
정제: 오빠 차 펠리세이드	오빠 차 펠리세이드.
정제: 바로 살수있는차 나왔는데	바로 살 수 있는 차 나왔는데
정제: 4000만원정도한다	4000만원 정도 한다.
정제: 사고싶다	사고 싶다.
정제: 헉ㅋ옵션은어때?	헉ㅋ 옵션은 어때?
정제: 보험까지다하면4000될거같아?ㅋ	보험까지 다 해서 4000 될 거 같아? ㅋ
정제: 웅웅	응응
정제: 어쩌고싶어? k5팔고사?	어쩌고 싶어? k5 팔고 사?
정제: 참았다가 12월에사면	참았다가 12월에 사면
정제: 200만원 더 할인받기는하는데	200만원 더 할인 받기는 하는데
정제: 200이믄 크긴하당	200이면 크긴 하다.
정제: 좀만더타던지ㅋ	좀만 더 타든지 ㅋ
정제: 그쯤 사믄 딱좋긴한데	그쯤 사면 딱 좋긴 한데.
정제: 하아 갈등이네	하아, 갈등이네.
정제: 지금사는것도 전시차긴 하다	지금 사는 것도 전시차긴 하다.
정제: 그럼 좀만 참아라	그럼 좀만 참아라.
정제: 어짜피같은 전시차믄 할인할때사자	어차피 같은 전시차면 할인할 때 사자.
정제: 이득볼수있음 이득있을때 사자	이득 볼 수 있으면 이득 있을 때 사자.
정제: 저기 비싸진아늠	저기 비싸진 않아.
정제: 파이류는 3500?	파이류는 3500?
정제: 핫도그는 가격 다양	핫도그는 가격 다양해.
정제: 그래도 5000은 안넘길걸	그래도 5000은 안 넘길 걸
정제: 테잌아웃전문임	테이크아웃 전문이야
정제: 그래서 사가지고 홍대 놀이터에서 챱챱하던지 걸어감서 챱챱해야대	그래서 사가지고 홍대 놀이터에서 챱챱하던지 걸어갔는데 챱챱해야 돼.
정제: 보통은 놀이터서 챱챱함	보통은 놀이터에서 챱챱함.
정제: 찾아보니까	찾아보니까
정제: 주니어 핫독먹고서	주니어 핫도그 먹고서
정제: 미트파이 머금됨ㅎ	미트파이 먹으면 됨ㅎ
정제: 2700원정도하는거같은디	2700원 정도 하는 거 같은데
정제: 미트파인 내거야	미트파이는 내거야.
정제: 차라리 치킨파이를 사	차라리 치킨 파이를 사.
정제: 나도 먹을꺼여	나도 먹을 거야
정제: 반반해먹자	반반 해먹자
정제: 그랭ㅎ	그래ㅎ
정제: 우리 가는 빈티지샵 요일마다 가격달라지나봄	우리 가는 빈티지 샵 요일마다 가격 달라지나 봐.
정제: 우리 맨처음이랑 두번째로 고터갔을땐	우리 맨 처음이랑 두 번째로 고터 갔을 땐.
정제: 무슨 요일이었지?	무슨 요일이었지?
정제: 기억 안나는데.. 언제였지?	기억 안나는데.. 언제였지?
정제: 처음이랑 두번째 고터간날	처음이랑 두 번째 곳에 간 날
정제: 처음 화욜 둘째 화욜 셋째 금욜	처음 화욜 둘째 화욜 셋째 금욜
정제: 그럼 요일은 또 아니네	그럼 요일은 또 아니네.
정제: 그냥 자기들 맴인가	그냥 자기들 마음인가.
정제: 그런가봐 자기들 맘대로 가격붙이나봄	그런가봐. 자기들 맘대로 가격 붙이나 봐.
정제: 칫.. 요일 알면 쌀때만 가면좋은데	칫.. 요일 알면 쌀 때만 가면 좋은데.
정제: 하모 그러게말이야	하모 그러게 말이야.
정제: 핑크랑 블랙 중에 뭐살가	핑크랑 블랙 중에 뭐 살까
정제: 핑크	핑크
정제: 얘쁜데..?	예쁜데..?
정제: 아오 블랙이 넘 압도적이였오	아오, 블랙이 넘 압도적이었어.
정제: 두개 살라거 후후	두 개 살라고. 후후.
정제: 아 머야 ㅋ	아 뭐야 ㅋ.
정제: 멀 고만한 거야 ㅋ	뭘 고민한 거야 ㅋ
정제: 사실 내 픽은 하늘색	사실 내 픽은 하늘색.
정제: 저도 제 원픽이 하늘이였다조,,	나도 제 원픽이 하늘이었다죠,,
정제: 후후	후후
정제: 바로 지름	바로 지름.
정제: 하늘..하늘..?	하늘.. 하늘..?
정제: 어...!?	어... !?
정제: 아앗,,,,	아앗...
정제: 경영인을 바꿨대요 언냐ㅠ	경영인을 바꿨대요 언니야ㅠ
정제: 강남 예카 조지는중	강남 예카 조지는 중
정제: #@시스템#검색#	#@시스템# 검색.
정제: 아니 이 정도면	아니, 이 정도면.
정제: 강남에서 자취해!!	강남에서 자취해!!
정제: 나 자취하면 너 매주 강남 와야혀	나 자취하면 너 매주 강남 와야 해.
정제: ㅋㅋㅋ 나도 망설였는데	ㅋㅋㅋ 나도 망설였는데.
정제: 매장 언니가 넘나 강추해서	매장 언니가 넘나 강추해서.
정제: 대략 지름 ㅎ	대략 지름 ㅎ
정제: 오	오
정제: 모자이뿌다!!!!!!!	모자 이쁘다!!!!!!!
정제: 온라인에 2000개씩 들어가도 바로 품절된다고	온라인에 2000개씩 들어가도 바로 품절된다고.
정제: 지금 두개 남았다고	지금 두 개 남았다고.
정제: 잘어울려!!!!	잘 어울려!!!!
정제: 얼른 챙기랰ㅋㅋ	얼른 챙기래ㅋㅋ
정제: 감사해욘 ㅎㅎ	감사해요 ㅎㅎ
정제: 무난해서 샀어욘 ㅎㅎ	무난해서 샀어요 ㅎㅎ
정제: 헐	헐.
정제: 이뿌다!!!!!!!	이쁘다!!!!!!!
정제: 쇼룸에서 찍어봄 ㅎㅎ	쇼룸에서 찍어봄 ㅎㅎ.
정제: 모델이세여...?	모델이세요...?
정제: ㅎ당건ㅎ	ㅎ당근ㅎ
정제: seche 탑코트 이거	seche 탑코트 이거.
정제: 머야 이뻐 ㅋㅋㅋ	뭐야 이뻐 ㅋㅋㅋ
정제: 나름 좋아	나름 좋아.
정제: 젤탑코트같고 빨리말라	젤탑코트 같고 빨리 말라.
정제: 네일샵다녀온거 ㅋㅋㅋ	네일샵 다녀온 거 ㅋㅋㅋ.
정제: 오 일반네일아냐?	오, 일반 네일 아니야?
정제: 젤이야?	젤이야?
정제: 일반이야 ㅋㅋㅋ	일반이야 ㅋㅋㅋ.
정제: 금방 오는거아녀?	금방 오는 거 아니야?
정제: 오래걸린대?	오래 걸린대?
정제: 학교갔다왔는데 집앞에 매트리스있으면 힘들거같아..	학교 갔다왔는데 집 앞에 매트리스 있으면 힘들거 같아..
정제: 문의해도 다 언제갈지모른다 기다려라 이런거뿐이던데	문의해도 다 언제 갈지 모른다. 기다려라, 이런 거 뿐이던데.
정제: 그건 그렇긴한데ㅠㅠ	그건 그렇긴 한데ㅠㅠ.
정제: 예상 그런것도 없어	예상 그런 것도 없어.
정제: 뭐냠, ,,,	뭐냐...
정제: 에바네 ㅡㅡ	에바네. ㅡㅡ
정제: 휴도 그렇게 굴래?!?	휴도 그렇게 굴래?!?
정제: 근데 화물이라는게 케바케다	근데 화물이라는 게 케바케다.
정제: 기사님마다 그게 차이가 클듯	기사님마다 그게 차이가 클듯.
정제: 넘 복불복쓰	너무 복불복.
정제: 좀 더 빨리 시킬걸 그랫남	좀 더 빨리 시킬걸 그랬는나.
정제: 젝아 일찍 시키라고 했잖아욘~~	젝아, 일찍 시키라고 했잖아요~~
정제: 근데 애초에 너가 마음정한게	근데 애초에 너가 마음정한 게.
정제: 얼마안되지 않았어?ㅋㅋㅋ	얼마 안 되지 않았어?ㅋㅋㅋ
정제: 어쩔 수 없었다	어쩔 수 없었다.
정제: 아니 넘 빨리 도착하면 어쩌나싶어서	아니 너무 빨리 도착하면 어쩌나 싶어서
정제: 문따고 들어가서 넣어주는진 몰랐지	문따고 들어가서 넣어주는 건 몰랐지.
정제: 맞아 내가 고민도 오지게 했지	맞아, 내가 고민도 오지게 했지.
정제: #@이름#	#@이름#
정제: 배그중?	배그 중?
정제: ㅇㅇㅇ	ㅇㅇㅇ
정제: 계속 할거징?	계속 할거징?" -> "계속 할 거징?
정제: 모르겟움	모르겠음
정제: 배그	배틀그라운드
정제: 결재	결재
정제: 한다	한다.
정제: 이제 너꺼 안씀	이제 너 꺼 안 씀.
정제: ㅋㅋㅋㅋ	ㅋㅋㅋㅋ
정제: 아닌가	아닌가.
정제: #@기타# 카카오로 가야하나	#@기타# 카카오로 가야 하나.
정제: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 카카오보단 스팀이지	카카오 보단 스팀이지.
정제: 일단	일단
정제: 지른다	지른다.
정제: 고고	고고
정제: 상하이세트 할인인가? 뭐짘ㅋㅋ	상하이 세트 할인인가? 뭐지ㅋㅋ.
정제: 세트시켰는데가격은10400원나왓네 영수증봤더니	세트 시켰는데 가격은 10400원 나왔네. 영수증 봤더니.
정제: 왜??	왜?
정제: ㅋㅋㅋㅋ왤케싸	ㅋㅋㅋㅋ 왜 이렇게 싸
정제: 세개샀는데?	세 개 샀는데?
정제: 아 원래이가격인가?몰랔ㅋㅋ	아, 원래 이 가격인가? 몰라ㅋㅋ
정제: 아니두개샀엌ㅋㅋㅋ	아니 두 개 샀어ㅋㅋㅋ.
정제: 내가비싸게 오해했나보다	내가 비싸게 오해했나 보다.
정제: ㅋㅋㅋ맥도날드는 글케안비싸	ㅋㅋㅋ 맥도날드는 그렇게 안 비싸
정제: 글쿤 ㅋㅋㅋㅋ 싸구나	그렇군 ㅋㅋㅋㅋ 싸구나.
정제: 체스키가 그 축제열리는데??	체스키가 그 축제 열리는데??
정제: 2시간이면 계획잘짜서 후딱 보고 사고 사진찍고 와야겠다	2시간이면 계획 잘 짜서 후딱 보고 사고 사진 찍고 와야겠다.
정제: 포켓 와이파이는 어떻게 할거임?	포켓 와이파이는 어떻게 할 거야?
정제: 아 그 축제 그때 아니더라ㅜ 살짝 비껴감	아 그 축제 그때 아니더라ㅜ 살짝 비껴갔어.
정제: 아...아쉽..	아... 아쉬워..
정제: 그냥 점심먹고 좀 둘러보면 될듯	그냥 점심 먹고 좀 둘러보면 될 듯
정제: 그걸로 충분하대 애들이	그걸로 충분하대 애들이.
정제: ㅋㅋㅋㅋ	ㅋㅋㅋㅋ
정제: 알겠음	알겠어.
정제: 페북 스투디 플래너도 뭐 자주 올라옴	페북 스터디 플래너도 뭐 자주 올라와.
정제: 게시물 저장ㄱ	게시물 저장한다.
정제: 스투디 플래너가 뭐야	스투디 플래너가 뭐야.
정제: 아 스투비	아, 스투비.
정제: 페북 페이지	페북 페이지
정제: ㅇㅇ 오키	ㅇㅇ 오케이.
정제: #@시스템#기타#	#@시스템# 기타.
정제: #@URL#	#@URL#
정제: 가격 괜춘한듯 하자	가격 괜찮은 듯 하자.
정제: 5인하면 거의 40만 아님?	5인 하면 거의 40만 아님?
정제: 시간대비 비싼 것 같은데	시간 대비 비싼 것 같은데.
정제: 옷은 늘 살 수 있나ㅎㅎ	옷은 늘 살 수 있나ㅎㅎ.
정제: 살 옷?? 많아ㅋㅋ	살 옷?? 많아 ㅋㅋ.
정제: 나 주차가..	나 주차가..
정제: 구경할거야	구경할 거야
정제: 1시간밖에 안들어있어서	1시간 밖에 안 들어 있어서
정제: 돈을 써야해..ㅋㅋ	돈을 써야 해.. ㅋㅋ
정제: 맞당ㅎㅎ 나 자기 차번호 알려줘용	맞다 ㅎㅎ 나 자기 차번호 알려줘요.
정제: #@번호#!	#@번호#!
정제: 이따 커피마시거나 옷사거나	이따 커피 마시거나 옷 사거나.
정제: 다 되는거잖아??	다 되는 거잖아??
정제: 안그래도 가서 물어보려고 했엉	안 그래도 가서 물어보려고 했어.
정제: 자기ㄱ	자기 가자.
정제: ㅋㅋㅋ이걸로 사??	ㅋㅋㅋ 이걸로 사??
정제: 돈 다 쓰고왕ㅋㅋ	돈 다 쓰고 와ㅋㅋ
정제: 안갈 수 없겠네..	안 갈 수 없겠네..
정제: 대신!	대신!
정제: 너무 큰 유혹이다	너무 큰 유혹이다.
정제: 그스프레이?로	그 스프레이로
정제: 더티	더티.
정제: 나도 갖고 시픈데	나도 갖고 싶은데.
정제: 여자들도 뿌리냐	여자들도 뿌리냐.
정제: 뿌리지	뿌리지
정제: 남자꺼아녀	남자꺼 아니야.
정제: 일단 내가 갖고있는건 스프레이긴한데	일단 내가 갖고 있는 건 스프레이긴 한데.
정제: 거기는 그거 없나?	거기는 그거 없나?
정제: 29하이스트리트	29 하이스트리트
정제: 없겠지 ..... 호주에만 팔겠지 .. 오케이	없겠지.....호주에만 팔겠지..오케이.
정제: 없지없지	없지 없지
정제: 영국 다녀와?	영국 다녀와?
정제: 자가격리하면되지ㄱㄱ	자가 격리하면 되지. 가자
정제: 위에께나아	위에 게 나아.
정제: 위에꺼 살까 말까 하면	위에 거 살까 말까 하면
정제: 사지마라야?	사지 마라야?
정제: 밑에꺼 예쁜거같은데.......	밑에 꺼 예쁜 거 같은데.......
정제: 가격은?	가격은?
정제: 둘다	둘 다
정제: 18000	18000
정제: 15600?	15600?
정제: 얼마안행	얼마 안 해
정제: 그럼샄ㅋㅋ`	그럼 사ㅋㅋ.
정제: 엣지	엣지
정제: 피자 잡은손	피자 잡은 손
정제: 손 크로아상같네	손 크로아상 같네
정제: 미소가 아름다운사람이야	미소가 아름다운 사람이야.
정제: 먹을때	먹을 때
정제: #@이름# 곰돌이옷 잘어울리네	#@이름# 곰돌이 옷 잘 어울리네.
정제: 친이모가 다른 곰돌이 옷 사주면 되겠다	친이모가 다른 곰돌이 옷 사주면 되겠다.
정제: 난 행복합니다~~	나 행복합니다~~
정제: 나 할머니 생신선물 드려야돼	나 할머니 생신 선물 드려야 돼.
정제: 이모 돈 없어	이모 돈 없어.
정제: 담달 이모 생일이야 이모 생일선물 준비해	다음 달 이모 생일이야 이모 생일 선물 준비해.
정제: #@이름#이는 담달에 진짜 거지야	#@이름#이는 다음 달에 진짜 거지야.
정제: 이모는 아무것도 안주고 아무것도 안받을게	이모는 아무것도 안 주고 아무것도 안 받을게.
정제: ㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋ
정제: 할머니생신언제냐	할머니 생신 언제냐.
정제: 기프티콘 보내드려도 되니	기프티콘 보내 드려도 되니
정제: 맘대루해	맘대로 해
정제: 할머니 별거아니지만 요거프레소 기프티콘 보냅니다	할머니 별거 아니지만 요거프레소 기프티콘 보냅니다.
정제: 할머니 못쓰실거 같아	할머니 못 쓰실 거 같아.
정제: 메리딸기 시즌이더라구요	메리딸기 시즌이더라구요.
정제: 그제잉가?	그제인가?
정제: 아 최근에 산거구나....	아, 최근에 산 거구나....
정제: 그랬구나..그랬어..	그랬구나.. 그랬어..
정제: 다 #@이름#한테 쓰려고 산거야!	다 #@이름#한테 쓰려고 산 거야!
정제: 이거 다 #@이름#꺼	이거 다 #@이름# 꺼
정제: 귀여운것만 골라 샀네	귀여운 것만 골라 샀네.
정제: 하 오늘 너무 시르다	하 오늘 너무 싫다.
정제: 빤스런 하고 싶어	빤스런 하고 싶어
정제: 회사에서	회사에서
정제: #@이름#도?	#@이름# 도?
정제: 나도...	나도...
정제: 10시반밖에 안됏어..	10시 반밖에 안 됐어..
정제: 실화냐..	실화냐..
정제: #@이모티콘#	#@이모티콘#.
정제: 돈내놔새끼들아	돈 내놔 새끼들아.
정제: 일처리째깍째깍하란말이야	일처리째깍째깍 하란 말이야.
정제: 나는 응개중	나는 응가 중
정제: 오잉?	오잉?
정제: 응개하면서카톡즁?	응가하면서 카톡 중?
정제: 냐 응개쟁이다	냐 응가쟁이다.
정제: 색깔뭐가이뽀	색깔 뭐가 이뻐.
정제: 디자인어때	디자인 어때.
정제: 음	음.
정제: 색깔은3번이녜쁘고	색깔은 3번이 예쁘고
정제: 1,2번은 나이들어보일것같아	1,2번은 나이들어 보일 것 같아.
정제: 디자인은그냥그래	디자인은 그냥 그래.
정제: #@이모티콘#하하#	#@이모티콘# 하하.
정제: 나도그냥물어봐쓔	나도 그냥 물어봤어.
정제: 모델이진짜마르고몸선이이뻐서	모델이 진짜 마르고 몸선이 이뻐서.
정제: 한번 보내봤다	한번 보내봤다.
정제: 이번에 산거?	이번에 산 거?
정제: 응	응.
정제: 홍대가자	홍대 가자.
정제: 예전에 내가 추천해준곳인데	예전에 내가 추천해 준 곳인데.
정제: 맞아	맞아.
정제: 맞아	맞아.
정제: ㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋ
정제: 아 또 생각났다	아 또 생각났다.
정제: 로즈 아로마오일	로즈 아로마 오일
정제: 오	오.
정제: 그것도 좋도	그것도 좋고.
정제: 다	다.
정제: 겁나비싸	겁나 비싸.
정제: 얼마양	얼마야.
정제: 파는곳 마다 좀 달라	파는 곳마다 좀 달라.
정제: 근데 100퍼 원액으로 사면 여툰 비싸	근데 100퍼 원액으로 사면 여튼 비싸.
정제: 내가 3퍼 희석액으로 사봤는데	내가 3% 희석액으로 사봤는데
정제: 힝	힝
정제: 옹	오.
정제: 비싸도 100퍼 사는게 나을듯	비싸도 100퍼 산는 게 나을 듯
정제: 헐 왤케 오래된거같지 ㅇㅅㅇ	헐 왜 이렇게 오래된 거 같지 ㅇㅅㅇ.
정제: 나 그때 자켓 입고 있었다구	나 그때 자켓 입고 있었다고.
정제: 그때가 좋았는뎅	그때가 좋았는데.
정제: 날씨도 선선하니	날씨도 선선하니.
정제: 흠 마쟈 ㅇㅅㅇ	흠 맞아 ㅇㅅㅇ.
정제: 나 모노키니 샀는데	나 모노키니 샀는데
정제: 오늘샀는데 벌써 발송했데	오늘 샀는데 벌써 발송했대.
정제: ㅋㅋㅋㅋㅋㅋㅋ개이득	ㅋㅋㅋㅋㅋㅋㅋ 개이득.
정제: 낼 오겠당 우체국이얌	낼 오겠다 우체국이야.
정제: 우아	우와.
정제: 비키니 이런거 금방 배송 하더라	비키니 이런 거 금방 배송하더라.
정제: 너 호텔갈떄 입으려구	너 호텔 갈 때 입으려구
정제: 산거지ㅇㅂㅇ	산 거지ㅇㅂㅇ
정제: 캬캬	캬캬
정제: 맞아 ㅇㅂㅇ	맞아. ㅇㅂㅇ
정제: 비키니처럼 분리된거사려다가	비키니처럼 분리된 거사려다가
정제: 뱃살튀어나올까바	뱃살 튀어나올까 봐
정제: 모노키니로 해써 헤헤	모노키니로 해써 헤헤.
정제: ㅁㅈ 나 분리된거 샀다가	맞아 나 분리된 거 샀다가.
정제: 후회했자나..	후회했잖아..
정제: 니쩌로유	니쩌로유
정제: 니짜로우	니짜로우
정제: 예뽀	예뽀
정제: 근데 니짜로우가 아니라 니짜래	근데 니쟈로우가 아니라 니쟈래.
정제: ㅋㅋㅋㅋㅋ오맘원이길래 걍 사써..	ㅋㅋㅋㅋㅋ 오만원이길래 그냥 샀어..
정제: 로우버전이 아닌가바	로우 버전이 아닌 가 봐.
정제: 근데 인터넷은 이만얼마야	근데 인터넷은 이만 얼마야.
정제: 나 사기당한걸까	나 사기당한 걸까.
정제: 홀랭????	헐???
정제: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 근데 나 오늘 밥먹은데	근데 나 오늘 밥 먹은데.
정제: 옴청 마시써	엄청 맛있어.
정제: 너네랑 같이가고시퍼	너네랑 같이 가고 싶어.
정제: 엄청 맛있어서	엄청 맛있어서
정제: 가자	가자
정제: 먹으면서 계속 맛있다그래써	먹으면서 계속 맛있다 그랬어.
정제: 버뮤다	버뮤다.
정제: 이태원안간지 오래됔서	이태원 안 간지 오래됐어.
정제: 나도 정말 오랜만에 와	나도 정말 오랜만에 와.
정제: ㅋㅋㅋ	ㅋㅋㅋ
정제: 난 타공판 예쁜데 흔한디자인은 싫대	난 타공 판 예쁜데 흔한 디자인은 싫대.
정제: 흔한게	흔한 게
정제: 왜흔하겠어	왜 흔하겠어.
정제: 이쁘니까흥하지	이쁘니까 흔하지.
정제: 그니까!!	그니까!!
정제: 귀걸이를 어따두고팔라고	귀걸이를 어디다 두고 팔라고.
정제: 짜증나게하네	짜증나게 하네.
정제: 넘예뻐	넘 예뻐.
정제: 타공판두고해	타공 판 두고 해.
정제: 한쪽벽은	한쪽 벽은
정제: 이대로고	이대로 고
정제: 한쪽은 저대로하면 괜찮지?	한쪽은 저대로 하면 괜찮지?
정제: 웅 넘 예뻐	웅 넘 예뻐.
정제: 왜 대충말해?	왜 대충 말해?
정제: 진심인걸?	진심인걸?
정제: 근데	근데
정제: 저한쪽벽에도귀걸이전시할거래?	저 한쪽 벽에도 귀걸이 전시할 거래?
정제: 그렇게종류가많어?	그렇게 종류가 많아?
정제: 대단하군	대단하군.
정제: 기존에도 양쪽으로햇으니까	기존에도 양쪽으로 했으니까
정제: 종류가많나보지!	종류가 많나 보지!
정제: 어우눈아프겠다	어우 눈 아프겠다.
정제: 3분만	3 분만
정제: 헤헤	헤헤
정제: 메이웨더랑	메이웨더랑
정제: 호날두랑	호날두랑
정제: 어	어
정제: 등등이 쓴데	등등이 쓴데
정제: 헤헤	헤헤.
정제: 근육통을 없애주는 효과가	근육통을 없애주는 효과가.
정제: 탁월하뎅	탁월하대.
정제: 오오옹	오오오.
정제: #@이름#이두	#@이름# 이도.
정제: 할래	할래.
정제: 헷	헷헷
정제: 헤	헤
정제: 4000마넌이랭	4000 만원이래.
정제: 이히히히히히히히히	이히히히히히히히히
정제: 400도아닌	400도 아닌
정제: 4000...?	4000...?
정제: 앙!!	앙!!
정제: 비쨔...	비싸...
정제: 나	나
정제: 애뽈워치	애플 워치
정제: 사써	사서 써
정제: 오호	오호.
정제: 보자보자	보자 보자
정제: 근데나 그런가에	근데 나 그런거에
정제: 관심이없어서그런데	관심이 없어서 그런데.
정제: 무슨기능잇나요	무슨 기능 있나요.
정제: 궁금합니다	궁금합니다.
정제: 운동?	운동?
정제: 마자	맞아
정제: 운동할ㄸ ㅐ	운동할 때
정제: 그것만 들고가서 음악도 들을 슈 잇거	그것만 들고 가서 음악도 들을 수 있고
정제: 전화도 할슈잇거	전화도 할 수 있고
정제: 카톡도할수잇거	카톡도 할 수 있고
정제: 문자도할수이ㅛ고ㅔ	문자도 할 수 있고
정제: 뭐 기타등등 이서저거	뭐 기타 등등 이거저거
정제: 많은데	많은데
정제: 그냥 예뻐서 삿서	그냥 예뻐서 샀어.
정제: ㅎㅎ	ㅎㅎ
정제: 오호	오호
정제: 스마트해요	스마트해요
정제: 이쁘다고 생각햇는데	이쁘다고 생각했는데.
